44197,Canário,C1712,P1727,339,53,17967
44197,Canário,C1895,P1772,284,194,55096
44197,Canário,C3600,P3399,337,53,17861
44197,Canário,C4318,P8698,109,16,1744
44197,Canário,C5139,P6480,43,89,3827
44197,Canário,C7382,P9345,396,128,50688
44197,Canário,C7417,P5288,56,124,6944
44197,Canário,C8232,P3757,21,34,714
44198,Canário,C1409,P3375,150,33,4950
44198,Canário,C1793,P5708,144,21,3024
44198,Canário,C4601,P1641,261,188,49068
44198,Canário,C4945,P9194,364,67,24388
44198,Canário,C6138,P7103,376,124,46624
44198,Canário,C6450,P4787,43,159,6837
44198,Canário,C7751,P7053,266,127,33782
44198,Canário,C8135,P9096,377,157,59189
44198,Canário,C8909,P1675,27,165,4455
44198,Canário,C9354,P6472,330,144,47520
44198,Canário,C9610,P9239,34,154,5236
44198,Canário,C9797,P4359,375,65,24375
44199,Canário,C1092,P5652,295,103,30385
44199,Canário,C1567,P5608,345,29,10005
44199,Canário,C2878,P5570,145,76,11020
44199,Canário,C4610,P8772,172,41,7052
44199,Canário,C4611,P2627,321,180,57780
44199,Canário,C4809,P2951,397,51,20247
44199,Canário,C5222,P6880,263,187,49181
44199,Canário,C5995,P3203,239,113,27007
44199,Canário,C6211,P2027,94,155,14570
44199,Canário,C6623,P8954,169,54,9126
44199,Canário,C7435,P8150,352,78,27456
44199,Canário,C9294,P5372,328,173,56744
44200,Canário,C1456,P6631,360,163,58680
44200,Canário,C1471,P7656,217,49,10633
44200,Canário,C1742,P9339,137,152,20824
44200,Canário,C2729,P5213,186,42,7812
44200,Canário,C4123,P8720,238,93,22134
44200,Canário,C6600,P1707,85,138,11730
44200,Canário,C8116,P7741,57,37,2109
44200,Canário,C8862,P3235,175,14,2450
44200,Canário,C9683,P6707,119,133,15827
44201,Canário,C1800,P8928,398,152,60496
44201,Canário,C2351,P7136,55,106,5830
44201,Canário,C2981,P9142,51,129,6579
44201,Canário,C3823,P9641,222,151,33522
44201,Canário,C4307,P9674,257,55,14135
44201,Canário,C4346,P9400,40,55,2200
44201,Canário,C4832,P5852,99,90,8910
44201,Canário,C5057,P1606,298,14,4172
44201,Canário,C5076,P7159,394,59,23246
44201,Canário,C5203,P7634,367,51,18717
44201,Canário,C5465,P4296,18,94,1692
44201,Canário,C6723,P1852,377,87,32799
44201,Canário,C9741,P7951,180,110,19800
44202,Canário,C1664,P4340,230,113,25990
44202,Canário,C3650,P2037,180,200,36000
44202,Canário,C3674,P2393,297,100,29700
44202,Canário,C4337,P1232,129,89,11481
44202,Canário,C5493,P7235,299,27,8073
44202,Canário,C5938,P1831,252,35,8820
44202,Canário,C6014,P6974,218,80,17440
44202,Canário,C6285,P1312,329,160,52640
44202,Canário,C6503,P6300,325,105,34125
44202,Canário,C6874,P6882,243,95,23085
44202,Canário,C7101,P6692,159,129,20511
44202,Canário,C8908,P9327,245,51,12495
44202,Canário,C9008,P5372,95,181,17195
44203,Canário,C2138,P8041,214,149,31886
44203,Canário,C2385,P3223,166,108,17928
44203,Canário,C2920,P1586,26,105,2730
44203,Canário,C3878,P7265,119,172,20468
44203,Canário,C4073,P5006,31,10,310
44203,Canário,C4130,P2940,101,33,3333
44203,Canário,C5800,P9825,61,58,3538
44203,Canário,C5955,P1384,166,35,5810
44203,Canário,C7967,P8002,289,58,16762
44203,Canário,C8433,P9080,311,167,51937
44203,Canário,C8490,P7015,381,189,72009
44203,Canário,C9329,P5386,230,185,42550
44203,Canário,C9905,P4695,121,195,23595
44204,Canário,C1083,P3501,310,88,27280
44204,Canário,C1215,P9414,205,61,12505
44204,Canário,C1314,P2149,64,45,2880
44204,Canário,C1638,P4128,173,27,4671
44204,Canário,C2061,P7097,24,29,696
44204,Canário,C2616,P2779,386,78,30108
44204,Canário,C3573,P1548,223,87,19401
44204,Canário,C3617,P3422,227,155,35185
44204,Canário,C3707,P5080,100,160,16000
44204,Canário,C4276,P4623,179,192,34368
44204,Canário,C4865,P6592,219,24,5256
44204,Canário,C4945,P2319,140,147,20580
44204,Canário,C5384,P9167,389,174,67686
44204,Canário,C6222,P8738,196,140,27440
44204,Canário,C7080,P6227,15,171,2565
44204,Canário,C7911,P1231,177,84,14868
44204,Canário,C8458,P2091,228,45,10260
44204,Canário,C8817,P9923,72,36,2592
44204,Canário,C9438,P6907,191,190,36290
44205,Canário,C1068,P8330,29,105,3045
44205,Canário,C1514,P6982,90,33,2970
44205,Canário,C1622,P4448,334,118,39412
44205,Canário,C1761,P3073,116,196,22736
44205,Canário,C2508,P2622,342,93,31806
44205,Canário,C2695,P6450,18,46,828
44205,Canário,C2843,P1097,69,183,12627
44205,Canário,C3084,P1477,391,97,37927
44205,Canário,C3669,P8663,308,115,35420
44205,Canário,C3703,P5496,145,82,11890
44205,Canário,C5148,P9281,97,161,15617
44205,Canário,C7456,P4447,206,113,23278
44205,Canário,C8192,P5555,348,156,54288
44205,Canário,C8618,P3143,363,113,41019
44205,Canário,C9200,P6255,275,170,46750
44205,Canário,C9374,P1278,341,59,20119
44205,Canário,C9656,P9203,387,44,17028
44206,Canário,C2796,P5058,133,166,22078
44206,Canário,C3788,P9970,371,141,52311
44206,Canário,C4040,P3245,45,59,2655
